Excluded due to y_range or header_y_range: {'content': 'Industrial Conciliation', 'polygon': [1.1605, 0.7335, 2.5011, 0.7335, 2.5011, 0.8668, 1.1572, 0.8635], 'spans': [{'offset': 0, 'length': 23}]}
Excluded due to y_range or header_y_range: {'content': '[HOUSE.]', 'polygon': [2.6846, 0.7401, 3.3249, 0.7401, 3.3249, 0.8835, 2.6846, 0.8835], 'spans': [{'offset': 24, 'length': 8}]}
Excluded due to y_range or header_y_range: {'content': 'Generated on 2024-02-03 07:27 GMT / https://hdl.handle.net/2027/uc1.32106019788238', 'polygon': [0.02, 9.5583, 0.0167, 4.8408, 0.1167, 4.8408, 0.1167, 9.5583], 'spans': [{'offset': 4258, 'length': 82}]}
Excluded due to y_range or header_y_range: {'content': 'Creative Commons Zero (CC0) / http://www.hathitrust.org/access use#cc-zero', 'polygon': [0.1301, 9.5683, 0.1301, 5.2909, 0.2368, 5.2909, 0.2334, 9.5683], 'spans': [{'offset': 2413, 'length': 74}]}
Excluded due to y_range or header_y_range: {'content': 'Google', 'polygon': [1.414, 9.4516, 2.1043, 9.4616, 2.0943, 9.675, 1.404, 9.6817], 'spans': [{'offset': 5954, 'length': 6}]}
Excluded due to y_range or header_y_range: {'content': 'Digitized by', 'polygon': [0.9338, 9.5283, 1.3906, 9.5316, 1.3906, 9.625, 0.9338, 9.6216], 'spans': [{'offset': 5941, 'length': 12}]}
Excluded due to y_range or header_y_range: {'content': 'and Arbitration Act.', 'polygon': [3.6583, 0.7435, 4.8422, 0.7435, 4.8422, 0.8701, 3.6583, 0.8668], 'spans': [{'offset': 2492, 'length': 20}]}
Excluded due to y_range or header_y_range: {'content': '401', 'polygon': [5.2124, 0.7468, 5.4325, 0.7501, 5.4325, 0.8701, 5.2091, 0.8701], 'spans': [{'offset': 2488, 'length': 3}]}
Excluded due to y_range or header_y_range: {'content': 'Original from', 'polygon': [4.2953, 9.475, 4.7989, 9.475, 4.7989, 9.5683, 4.2953, 9.565], 'spans': [{'offset': 5961, 'length': 13}]}
Excluded due to y_range or header_y_range: {'content': 'UNIVERSITY OF CALIFORNIA', 'polygon': [3.8751, 9.585, 5.2124, 9.585, 5.2124, 9.6817, 3.8751, 9.685], 'spans': [{'offset': 5975, 'length': 24}]}
Excluded due to y_range or header_y_range: {'content': 'Otautau Telephonic', 'polygon': [1.5039, 0.6701, 2.641, 0.6734, 2.6376, 0.8201, 1.5039, 0.8101], 'spans': [{'offset': 6796, 'length': 18}]}
Excluded due to y_range or header_y_range: {'content': '402', 'polygon': [0.9137, 0.6801, 1.1271, 0.6768, 1.1271, 0.7901, 0.9137, 0.7901], 'spans': [{'offset': 6792, 'length': 3}]}
Excluded due to y_range or header_y_range: {'content': 'Creative Commons Zero (CC0) / http://www.hathitrust.org/access use#cc-zero', 'polygon': [0.13, 9.5683, 0.1334, 5.3609, 0.2301, 5.3609, 0.2268, 9.5683], 'spans': [{'offset': 12789, 'length': 74}]}
Excluded due to y_range or header_y_range: {'content': 'Generated on 2024-02-03 07:27 GMT /', 'polygon': [0.0133, 9.565, 0.0133, 7.518, 0.1267, 7.518, 0.13, 9.565], 'spans': [{'offset': 12864, 'length': 35}]}
Excluded due to y_range or header_y_range: {'content': 'Google', 'polygon': [1.3872, 9.4516, 2.0674, 9.4516, 2.0674, 9.6783, 1.3838, 9.675], 'spans': [{'offset': 12696, 'length': 6}]}
Excluded due to y_range or header_y_range: {'content': 'Digitized by', 'polygon': [0.917, 9.5316, 1.3605, 9.535, 1.3605, 9.625, 0.917, 9.6216], 'spans': [{'offset': 12683, 'length': 12}]}
Excluded due to y_range or header_y_range: {'content': '[HOUSE.] Communication with Lakes. [JULY 17', 'polygon': [2.9978, 0.6734, 5.7021, 0.6801, 5.7021, 0.8301, 2.9978, 0.8201], 'spans': [{'offset': 6815, 'length': 43}]}
Excluded due to y_range or header_y_range: {'content': 'and Lakes Manapouri and Te Anau. Again', 'polygon': [3.3679, 0.9702, 5.7088, 0.9768, 5.7088, 1.0935, 3.3679, 1.0869], 'spans': [{'offset': 9651, 'length': 38}]}
Excluded due to y_range or header_y_range: {'content': 'Original from', 'polygon': [4.2216, 9.4783, 4.7184, 9.4783, 4.7184, 9.5683, 4.2216, 9.565], 'spans': [{'offset': 12703, 'length': 13}]}
Excluded due to y_range or header_y_range: {'content': 'UNIVERSITY OF CALIFORNIA', 'polygon': [3.8081, 9.585, 5.1286, 9.585, 5.1286, 9.685, 3.8081, 9.685], 'spans': [{'offset': 12717, 'length': 24}]}
Excluded due to y_range or header_y_range: {'content': 'Hundred Line Siding.', 'polygon': [1.2738, 0.7335, 2.5576, 0.7435, 2.5576, 0.8902, 1.2738, 0.8701], 'spans': [{'offset': 13929, 'length': 20}]}
Excluded due to y_range or header_y_range: {'content': '[HOUSE.]', 'polygon': [2.771, 0.7368, 3.4146, 0.7368, 3.4146, 0.8902, 2.771, 0.8902], 'spans': [{'offset': 13950, 'length': 8}]}
Excluded due to y_range or header_y_range: {'content': '1901.]', 'polygon': [0.6736, 0.7501, 1.0404, 0.7501, 1.037, 0.8802, 0.6736, 0.8735], 'spans': [{'offset': 13959, 'length': 6}]}
Excluded due to y_range or header_y_range: {'content': 'Generated on 2024-02-03 07:27 GMT', 'polygon': [0.0133, 9.565, 0.0133, 7.688, 0.1234, 7.688, 0.1267, 9.565], 'spans': [{'offset': 20141, 'length': 33}]}
