2024-10-03 15:39:08,654 - INFO - Excluded strings: ['<!-- FigureContent="Stores.', '" Per" -->', '<!-- PageHeader="Imperial Honours.', 'http://www.hathitrust.org/access use#cc-zero', 'http://www.hathitrust. org/access use#cc-zero', 'org/access', 'use#cc-zero', '/'], Excluded patterns: ['http[s]?://(?:[a-zA-Z]|[0-9]|[$-_@.&+]|[!*\\\\(\\\\),]|(?:%[0-9a-fA-F][0-9a-fA-F]))+', '<!--\\s*[a-zA-Z]+\\s*="[^"]*"\\s*-->']
2024-10-03 15:39:09,042 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageHeader="[HOUSE.]" -->', 'polygon': [2.6938, 0.66, 3.3306, 0.66, 3.3306, 0.81, 2.6938, 0.81], 'spans': [{'offset': 63, 'length': 30}]}
2024-10-03 15:39:09,042 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageNumber="1901.]" -->', 'polygon': [0.5534, 0.6634, 0.9302, 0.6634, 0.9268, 0.8034, 0.5501, 0.8], 'spans': [{'offset': 0, 'length': 28}]}
2024-10-03 15:39:09,042 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageHeader="Breach of" -->', 'polygon': [1.5236, 0.6634, 2.1004, 0.67, 2.1004, 0.81, 1.5203, 0.8034], 'spans': [{'offset': 30, 'length': 31}]}
2024-10-03 15:39:09,042 - INFO - Excluded due to y_range or header_y_range: {'content': 'Luckie then said - and this is the point to', 'polygon': [3.0039, 0.9634, 5.4077, 0.9734, 5.4077, 1.0901, 3.0039, 1.0767], 'spans': [{'offset': 156, 'length': 43}]}
2024-10-03 15:39:09,042 - INFO - Excluded due to y_range or header_y_range: {'content': 'pooned the forms of Parliament which were', 'polygon': [0.5468, 0.9667, 2.9439, 0.9634, 2.9472, 1.0801, 0.5468, 1.0867], 'spans': [{'offset': 3372, 'length': 41}]}
2024-10-03 15:39:09,042 - INFO - Excluded due to y_range or header_y_range: {'content': 'Generated on 2024-04-28 23:23 GMT / https://hdl.handle.net/2027/uc1.32106019788253', 'polygon': [0.0167, 9.7005, 0.0167, 5.0136, 0.1134, 5.0136, 0.1167, 9.7005], 'spans': [{'offset': 3129, 'length': 82}]}
2024-10-03 15:39:09,042 - INFO - Excluded due to y_range or header_y_range: {'content': 'Creative Commons Zero (CC0) / http://www.hathitrust.org/access use#cc-zero', 'polygon': [0.1267, 9.7072, 0.13, 5.4603, 0.2334, 5.4603, 0.2267, 9.7072], 'spans': [{'offset': 3213, 'length': 74}]}
2024-10-03 15:39:09,042 - INFO - Excluded due to y_range or header_y_range: {'content': 'Google', 'polygon': [1.4003, 9.5839, 2.0871, 9.5839, 2.0871, 9.8139, 1.3969, 9.8072], 'spans': [{'offset': 3302, 'length': 6}]}
2024-10-03 15:39:09,042 - INFO - Excluded due to y_range or header_y_range: {'content': 'Digitized by', 'polygon': [0.9268, 9.6705, 1.3803, 9.6705, 1.3769, 9.7639, 0.9268, 9.7606], 'spans': [{'offset': 3289, 'length': 12}]}
2024-10-03 15:39:09,042 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageHeader="Privilege." -->', 'polygon': [3.9907, 0.6734, 4.5442, 0.68, 4.5442, 0.82, 3.9907, 0.8134], 'spans': [{'offset': 95, 'length': 32}]}
2024-10-03 15:39:09,042 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageNumber="385" -->', 'polygon': [5.1943, 0.6834, 5.4143, 0.6834, 5.411, 0.7967, 5.191, 0.7934], 'spans': [{'offset': 129, 'length': 25}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageFooter="Original from', 'polygon': [4.2675, 9.6172, 4.7609, 9.6172, 4.7609, 9.7072, 4.2675, 9.7072], 'spans': [{'offset': 3310, 'length': 30}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': 'UNIVERSITY OF CALIFORNIA" -->', 'polygon': [3.8507, 9.7239, 5.1743, 9.7239, 5.1743, 9.8206, 3.8507, 9.8239], 'spans': [{'offset': 3341, 'length': 29}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageHeader="Breach of" -->', 'polygon': [1.7735, 0.5767, 2.3436, 0.5767, 2.3436, 0.7167, 1.7735, 0.7134], 'spans': [{'offset': 6937, 'length': 31}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageNumber="386" -->', 'polygon': [0.9001, 0.5834, 1.1101, 0.5801, 1.1101, 0.6934, 0.8968, 0.6934], 'spans': [{'offset': 6910, 'length': 25}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': 'duction I ever heard read in this House. And', 'polygon': [0.8934, 0.8768, 3.2736, 0.8768, 3.2736, 0.9868, 0.8934, 0.9868], 'spans': [{'offset': 7047, 'length': 44}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': 'Generated on 2024-04-28 23:23 GMT / https://hdl.handle.net/2027/uc1.32106019788253', 'polygon': [0.0167, 9.6311, 0.0167, 5.0206, 0.1133, 5.0206, 0.1133, 9.6311], 'spans': [{'offset': 13230, 'length': 82}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': 'Creative Commons Zero (CC0) / http://www.hathitrust.org/access use#cc-zero', 'polygon': [0.1267, 9.6378, 0.13, 5.4673, 0.23, 5.4673, 0.2234, 9.6378], 'spans': [{'offset': 13314, 'length': 74}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': 'Google', 'polygon': [1.3768, 9.5177, 2.0535, 9.5177, 2.0502, 9.7478, 1.3768, 9.7444], 'spans': [{'offset': 13160, 'length': 6}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': 'Digitized by', 'polygon': [0.9168, 9.6044, 1.3535, 9.6078, 1.3535, 9.6944, 0.9134, 9.6878], 'spans': [{'offset': 13147, 'length': 12}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageHeader="Privilege." -->', 'polygon': [4.1104, 0.5701, 4.6604, 0.5801, 4.6571, 0.7201, 4.1071, 0.7101], 'spans': [{'offset': 7002, 'length': 32}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageHeader="[HOUSE.]" -->', 'polygon': [3.0103, 0.5734, 3.657, 0.5734, 3.657, 0.7201, 3.0103, 0.7201], 'spans': [{'offset': 6970, 'length': 30}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': '[SEPT. 10', 'polygon': [5.1605, 0.5801, 5.6905, 0.5801, 5.6939, 0.7167, 5.1605, 0.7167], 'spans': [{'offset': 7036, 'length': 9}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': 'Cook by the Dunedin Evening Star, the House', 'polygon': [3.3303, 0.8734, 5.6972, 0.8768, 5.6972, 0.9968, 3.3303, 0.9968], 'spans': [{'offset': 10182, 'length': 43}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageFooter="Original from', 'polygon': [4.1971, 9.5544, 4.6838, 9.5544, 4.6838, 9.6378, 4.1971, 9.6378], 'spans': [{'offset': 13168, 'length': 30}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': 'UNIVERSITY OF CALIFORNIA" -->', 'polygon': [3.7804, 9.6511, 5.0971, 9.6478, 5.0971, 9.7544, 3.7804, 9.7578], 'spans': [{'offset': 13199, 'length': 29}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageHeader="Breach of" -->', 'polygon': [1.3033, 0.6667, 1.8833, 0.67, 1.8833, 0.8133, 1.3033, 0.81], 'spans': [{'offset': 20128, 'length': 31}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageNumber="1901.]" -->', 'polygon': [0.47, 0.6767, 0.77, 0.6733, 0.7633, 0.8067, 0.47, 0.8067], 'spans': [{'offset': 13920, 'length': 28}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageHeader="[HOUSE.]" -->', 'polygon': [2.46, 0.6733, 3.0967, 0.6733, 3.0967, 0.8233, 2.46, 0.8233], 'spans': [{'offset': 20096, 'length': 30}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': 'Sir J. G. WARD .- The honourable member', 'polygon': [2.92, 0.9567, 5.1967, 0.9667, 5.1967, 1.08, 2.92, 1.0733], 'spans': [{'offset': 16957, 'length': 39}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': 'largely, financially, affecting this country. The', 'polygon': [0.46, 0.9667, 2.7267, 0.96, 2.7267, 1.08, 0.46, 1.09], 'spans': [{'offset': 13950, 'length': 49}]}
